% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 9 2026, 18:21"
% Dimension,1
% Nodes,10000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
1,0.010020168774687779,0.011964804285618394,6.248568413666455E-20,-49493.41684209811,-30185.65340103134,365826.15812745213
2,0.010039109617597413,0.012423836864160553,3.643191916270415E-21,-4297.800555456133,1325.5322079550988,89322.66456028302
3,0.010058050460507053,0.01288286944270271,7.274142586175277E-20,-8032.025585809036,-26889.150180531888,398646.2431103479
4,0.01007699130341669,0.013341902021244866,7.824993976546954E-20,-8123.987167710681,-405.1985901061846,414408.4011190547
5,0.010095932146326326,0.01380093459978702,9.940130716021335E-21,-2282.7721464250894,16208.178058547765,146819.67417376963
6,0.010114872989235963,0.014259967178329174,5.3322449735990325E-20,12232.397942593272,-57177.18005747964,337123.8643920134
7,0.0101338138321456,0.014718999756871328,7.966071995507775E-20,-71519.36724095464,11162.696090803336,411895.9497925134
8,0.010163183212263513,0.012164837007627594,1.8160105910465728E-20,17760.997538162115,7526.941503228285,198743.76786538877
9,0.010183620272508942,0.012625692732268459,5.705939993148209E-20,4141.109998901572,-10669.342194766508,353758.36113477976
10,0.010204057332754366,0.013086548456909318,4.891599527566789E-21,9691.433742127245,-9537.841327656462,102736.54844176967
11,0.010224494392999793,0.013547404181550178,4.0167012148223046E-20,-12448.775578209139,-28436.00030255384,295338.0552578927
12,0.01024493145324522,0.014008259906191041,5.084171871497372E-20,39216.70876669143,-25329.177766582394,330825.20242422685
13,0.010428775027169558,0.012104046727005128,2.6495063453507113E-20,11716.941192681028,34525.14905478441,238414.81348162648
14,0.010452204522086566,0.012568548743843404,6.365323826953494E-20,33038.9739499601,52350.745435594305,368674.354123078
15,0.010475634017003571,0.013033050760681677,9.635992951688429E-21,-4854.525247817301,11368.43956089377,144925.426144263
16,0.010499063511920577,0.013497552777519949,1.510703361561923E-20,-24788.26581015597,839.8385276776448,180424.21371804064
17,0.010522493006837583,0.013962054794358218,6.920047421089732E-20,-27996.053812163147,65949.82429959519,383143.4903601569
18,0.010545922501754587,0.01442655681119649,3.112852183055005E-20,-31601.527508074905,-31779.802566344242,257556.22238610112
19,0.010573285682081086,0.012305902595113034,6.421106074316242E-20,-48120.659592935,38275.77321780742,370401.1861864832
20,0.01059821139433388,0.01277222775805001,6.012494422597983E-20,7819.767595854502,-49219.10104091037,359892.7593556682
21,0.010623137106586676,0.01323855292098699,3.690689063232833E-20,41112.61595369611,-6489.457358663533,281599.13621418294
